----- BASEFOLDER D:\EBOOKS -----
VOLUME D|Daten|742e-61d8|NTFS|1000068870144
FOLDER \EBOOKS

FOLDER \EBOOKS\AndrewNg
582c120c04393c006cd5b26e87b5f24de18b9df2204f8719d4b7e492c209eb19|AI-Transformation-Playbook.pdf|410093|2018-12-17 16_23_27
eb92b89dada075c6702b5257b114db4e162011ad05a984fa28eb174cf416fe06|Ng-MLY01-13.pdf|4206689|2018-12-17 16_20_20

FOLDER \EBOOKS\APRESS\MicrosoftAndDotNet
c459a27e89c4b0e394cf014573cb024819a6dd9964747047970155f6f8958ab0|azureandxamarinforms.pdf|14856573|2019-04-02 23_37_53
b175defac8ca007e40fdae669d098f32f70418f0207dac05cba9625659db0ccb|beginningentityframeworkcore2.pdf|9364327|2019-04-02 23_37_45
ecbfc126b3ccad74bd2fb87a03ab9d647e87899260e9a0880fab1f9e14d6b502|beginningxamarindevelopmentforthemac.pdf|7575571|2019-04-02 23_38_07
5ceb48abbef63e1862e5f8dbe8e3d00b6d0489e97e9d773a73b1abf8f55722c2|beginningxmlwithcsharp7.pdf|15846103|2019-04-02 23_37_23
8e6c2f77f0da5ab8cbe5b7ead6df0deea48c9cd2aca81d2734f617376edc04b8|cosmosdbformongodbdevelopers.pdf|7268091|2019-04-02 23_37_59
a2ef3732b48ea9b718d1cbbf8b361aeb390b641508c411bc8e1e588b3d0eebbf|csharp7quicksyntaxreference.pdf|2058551|2019-04-02 23_38_23
4816ff685bd8015f84f16947de6cf18590eeb663b0e2f5a571f900650054c493|deeplearningwithazure.pdf|8182836|2019-04-02 23_36_53
c15cba16d6ea8e7eb3a28f20aa1e3944b15c35da84b71d5a487835ca6fcee6e2|developingbotswithmicrosoftbotsframework.pdf|12579767|2019-04-02 23_37_45
beee1d009316e90c8ed22c4fcea34a9e420889b927e07e148b88aaebaff7c8e0|essentialdockerforaspnetcoremvc.pdf|3311157|2019-04-02 23_37_34
6cc463202e690d963bf691cf5580086d4bd46ec2e423e10c0770422f73cc8fa9|hardeningazureapplications.pdf|9571502|2019-04-02 23_37_26
000ebd8a4e95e18347d9d5f70fd8c128c9e66bb14f73414150a9d8f0a3902f37|introducingmicrosoftteams.pdf|13631889|2019-04-02 23_37_06
f1433db808f81558939238b5eeeac2f65c4ca6ef2b6e7af454e2c243cafe7ccf|iotaiandblockchainfornet.pdf|10403409|2019-04-02 23_36_55
ce7ea8cd4fd81b1ae0f4e7e0e2eb7a1097d19283c72530bb98291ae7c714e6f0|microsoftcomputervisionapisdistilled.pdf|2532686|2019-04-02 23_38_13
4bbec93c744fc107e03862f9eb32bcaf667c056d9f0ac74b65cb3627abfbcb65|modernalgorithmsforimageprocessing.pdf|8155541|2019-04-02 23_37_15
ce22bf572f72410a5484a97ca035c9ef9edd9684b858f50192c271b4fc929b4d|modernapidesignwithaspnetcore2.pdf|5136812|2019-04-02 23_38_04
712d4dec3e844117a8cc9ac3c17cc43dc41bfa472168d0ccba0283ae76e5856a|moderndataaccesswithentityframeworkcore.pdf|20682393|2019-04-02 23_37_57
1060a0383fcbbf49dcca0e0f4533a4b516760e03fb6de8caa501b8e4ce162f55|practicalbotdevelopment.pdf|16813815|2019-04-02 23_37_02
ef1c2899d1bbfe1bae04ba7a7fffb957e9a97c95d44cf4443b7a60bfb20ceb0d|procsharp7.pdf|30551009|2019-04-02 23_37_39
5cd54fb91daa818a450b4f025e6623b0123e6b4e01152fb4477dddd1e959f5fa|visualstudiocodedistilled.pdf|8126401|2019-04-02 23_38_21
07915ab50692bb28704d99132f7ce08c9537b20142b147bc4ed7a8d49ac17ac4|xamarin_formssolutions.pdf|8142418|2019-04-02 23_37_13

FOLDER \EBOOKS\BIG_DATA
b2432881567bf29b341675a8661cbb83f3c21d9b545d7aeced691c112d48aedc|apachehiveessentials.pdf|4054884|2018-08-20 20_05_06
c2838300fd04e0f41f48aa44f557323679e92959d9b8555253a7a0f731bebadb|artificialintelligenceforbigdata.pdf|25472852|2018-08-20 20_06_39
e368b508bd061374941a84202e3973a685682b7fba8428d54e6fec3907fc3aff|bigdataanalyticswithhadoop3.pdf|35940229|2018-08-20 20_06_49
628f7261c4d337535265a7d182bfd6feefd61bfa9474418cafeae95d57f9c86f|bigdataarchitectshandbook.pdf|27732244|2018-08-20 20_07_21
8a406bc73c3d4646f38fe35482d30484d9b75b01a5d4e305333d161a4e21c83f|datasciencealgorithmsinaweek.pdf|8201714|2018-08-20 20_07_01
099e5c4e05959fad07058a406be8436db4705e65b1273127c9c37288c10f5da2|hadoopreal-worldsolutionscookbook.pdf|2618870|2018-08-20 20_05_54
73585772a6a57e24c00403cb30530593a1b3877f5397bdc961431864e95172ce|javafordatascience.pdf|6067800|2018-08-20 20_06_59
13569ebb231a213d5676f95b30ba804a347b84df23ad5bcf226764a6237085e0|learninghadoop2.pdf|2796168|2018-08-20 20_05_10
d16dd0e052726fab85455e3ccf49f01dd0af5bd895d9ffe94f8b044c84e348bb|masteringapachespark2_x.pdf|27474892|2018-08-20 20_05_05
f296e536b7203ca8c33864b54c21273c9f93371a48262e493a37129bb5dd58b6|masteringmongodb3_x.pdf|3314263|2018-08-20 20_05_35
e934fa72437039b0d224e03e753f312173098e9b960afd9a7ccbd4945bd27397|modernbigdataprocessingwithhadoop.pdf|11407886|2018-08-20 20_05_04
b5b286639e7af68ebce2009e193786afa81fc3d4452c87b63d20ba6720ba027b|mongodbcookbook.pdf|3471427|2018-08-20 20_04_49
74f8e73eb93ca420b9f8660a8e9c4dade364beb5eb80389403b6467d5b2e4f90|pythondataanalysis.pdf|9436067|2018-08-20 20_05_39
99ebf8db6d8bea8862ef33d87e89aa1d8740174bb87c9dfbabd13d9fa91c1197|pythondatascienceessentials.pdf|5928995|2018-08-20 20_06_17
1de8d08fbda7949ba21acbdf0ae3519bcc8b05446db04cf872d153c082b33d84|splunkessentials.pdf|12394886|2018-08-20 20_05_12
0cbdd6d15226e7bc0e8bcb562d2ff4dd5028e13b0e8664a3a0bc6cb7db9e6168|statisticsfordatascience.pdf|4234658|2018-08-20 20_05_18

FOLDER \EBOOKS\BPB_PUBLICATIONS\JAVA_AND_C_C++_C#_PROGRAMMING
6fbe5174115ade784ffc0f19a292b3f33295f428b466b1646ed0e45712c3528b|100plussolutionsinjava.pdf|67239574|2022-12-26 10_18_40
6f68bdee1d9cb6ecd68d7b08c8f871535fc8ede6b7909808c36de920a4ef34a9|101challengesincplusplusprogramming.pdf|7208237|2022-12-26 10_19_16
f5f52c0a84772b267b30924be520bd426be35d206a4d0b321effa8d41a7f3992|ansicprogramming_2e.pdf|10675729|2022-12-26 10_19_40
955884e95f58a81d74fce8b7029e29ca269e32164be9a14c08b9bd0405addecf|corejavamadesimple.pdf|15767326|2022-12-26 10_18_55
1ef1a4c3d6ac5a38b3d66c2dfbc6f6b0240fe084528b712cfdb8dca9a987e378|datastructuresthroughcplusplus.pdf|6851322|2022-12-26 10_19_01
c7e13a8bae32b0d0e184ea3d0ff0f3d033b7a3d130eeac50e001be47bb9124e8|decodingjavascript.pdf|40279865|2022-12-26 10_20_30
af7e62a16f7da3cc7aeb59d7e5fa757b138423f7e87d7ecdb05012c3bc23a2a0|deeplearningwithcnetandkelpnet.pdf|31396896|2022-12-26 10_19_46
eb4280a0e4d46b10de2681a1e3d3bc3ebdc4619e0282fb4e32367491d7f55c48|gettingskilledwithjava.pdf|12874639|2022-12-26 10_19_13
8c1636db6443442bb11421c4453f1867bb16d97fad927bd28c24d2c2eb2d2e15|hands-onpipelineascodewithjenkins.pdf|83928486|2022-12-26 10_20_21
2ab45b3896dc73eb30b99d970fcddea15e17221bd43d5f607313b47dd6c72366|implementingdesignpatternsincandnet5.pdf|23684809|2022-12-26 10_19_33
b57a9d6feb5005ec005aab81d523b0fdec8541e9dfd11689bdf8fb958ac0ccf3|javaacompletepracticalsolution.pdf|6935763|2022-12-26 10_20_31
2ebb43a65d016789b31770e2b8c75281fe93a8047902ceedbbdd04c8047a9cb8|javaforwebdevelopment.pdf|9019052|2022-12-26 10_20_11
282560937e7859a54dc3d98087a5e8987882e50bc0d7b20e8c16253af6d143dd|javaindepth.pdf|12033380|2022-12-26 10_19_49
ba21032d7e022654a6b112dd743d30ae7dc053f014120387127c962bd12acbfa|javaprofessionalinterviewguide.pdf|27984437|2022-12-26 10_19_36
72484e41f4d6d4a359ed397c506dbd184051337aa1f987c4b349beb8d379ec06|javaprogrammingsimplified.pdf|5301915|2022-12-26 10_19_26
d722a82a599e677a44d7a3b55d0a347462c5c314faa7b274e005ead3bb29eb22|javascriptformodernwebdevelopment.pdf|28546567|2022-12-26 10_20_21
9d3517f7c7198da297348ac3972af5899a3beb3b06731ff0840203324d6de0c0|learningrabbitmqwithc.pdf|69645270|2022-12-26 10_20_27
b957c90695e428fb3753a24c2d89d759afcb91ba086bf4b1460e0408f11f030a|letusjava_strongfoundationforjavaprogramming_5e.pdf|12027527|2022-12-26 10_19_54
77d170f8769f7a11603c8f1995a6b83a561a2373b40ea2f9ca9a9158174d55ba|masteringjavapersistence.pdf|18964957|2022-12-26 10_20_22
e7f7e2476edc8d74c57689e976a4833dcbf9cb7c6bbcd42dbd0977294e5e41fd|parallelprogrammingwithcandnetcore.pdf|46681934|2022-12-26 10_20_40
421b59ee5194efc75f914636d0628235a3c6c268780288f60a33acc2dd10432d|practicalroboticsincplusplus.pdf|62305099|2022-12-26 10_19_30
05e48de903b072fbc6b06e1183d95c0d1583d7d28e0ab9022dc3e4ad758628b0|seleniumwithjava_abeginners_guide.pdf|14524213|2022-12-26 10_20_28
f93414257291ca27566c124f5be55d6a08c6a2f79e0b55d59be2aaa8ed0d79e2|softwaredesignpatternsforjavadevelopers.pdf|48258213|2022-12-26 10_19_14

FOLDER \EBOOKS\BPB_RICHDALE\MACHINE_LEARNING_AND_ARTIFICIAL_INTELIGENCE
f1a7665e9f2b9457dcb9c6d4ce38e74829826ea88d7de31758216b8c455badf9|aiandmlpoweringtheagentsofautomation.pdf|9004337|2023-01-04 20_25_46
8119bafd253433b1a3e3631fd1f31b04a985798d243e94193536b0703d122bde|aidilemma.pdf|12722642|2023-01-04 20_25_42
432167c8b83a25adfafc4624f15f215d548c7ae90fc7b97d0dd9702692ccb866|appliedmachinesolutionswithpython.pdf|32412290|2023-01-04 20_26_01
abd45f0c476858485c6743fbb9a4b3fb93d53ddb484fb25c603cc1dffe946312|apracticalapproachformachinelearninganddeeplearningalgorithms.pdf|7886228|2023-01-04 20_26_38
0dae80a1af346aa97ab172fbbf0675bc08e3a6744dfb8152d370620bbbbc229c|artificialintelligenceanddeeplearningfordecisionmakers.pdf|2890266|2023-01-04 20_26_54
c1bde2ceb5199417b5227ceb7f7c92d947dd5e54a7f8ada684d691e928857939|artificialintelligenceethicsandinternationallaw.pdf|7348735|2023-01-04 20_27_49
1acfb63b92cc1733a4101c13fed64a70e0ad99ad15e5d2be6bd54e58b61c3e6d|artificialintelligenceforall.pdf|5281374|2023-01-04 20_25_56
41b1da318709c81c0257ab35a39f9c788ebf73e62629e34dae6d4a7ec595e21f|artificialintelligenceformanagers.pdf|12510641|2023-01-04 20_26_12
cc0d0b40610be7f0efa1058dc30916df77e5dde8d33710842421ffadf47e3b5f|artificialintelligencemeetsaugmentedreality.pdf|2137294|2023-01-04 20_27_26
eb53f3b30a941c2736163cb9e47b2808c923867c81c3e7b4b09172c12a61f87c|artificialintelligence_reshapinglifeandbusiness.pdf|7578586|2023-01-04 20_27_41
0d85ea936f5dda200a30b8b646dd5dafae3386b5a44a10f1ff5ef90bcbba7263|buildingmachinelearningsystemsusingpython.pdf|8761939|2023-01-04 20_26_06
fd4a45ca5de0146288f45b917260f591b3eb283f1a47dee7dab666cf6e6b9a0e|continuousmachinelearningwithkubeflow.pdf|54339915|2023-01-04 20_27_18
523e78075fa7c418ea928eb8bc1c11cf757bd749f69f443f0d5ba014f79068bf|datasciencewithmachinelearning_python.pdf|4399896|2023-01-04 20_26_48
3c6f7242ef7c3cd967ecfeb87030f372cf83eeb9123b12f4e83014d6e5572719|demystifyingartificialintelligence.pdf|10014546|2023-01-04 20_27_27
6f78d227919d38a99401199ceb72c2983c2b38328832bf3a331c522826275565|hands-onartificialintelligenceforandroid.pdf|43107586|2023-01-04 20_26_50
f7a9881acce86e8eaadea169653fbabe2626e473b84483bdd4c18530ee6d9ec2|learnaiwithpython.pdf|16687982|2023-01-04 20_26_55
0cc8e64099b4803ff76d664cb1dfaed3d9cf0ab10fec9e4e59097e9786fe2163|machinelearningcookbookwithpython.pdf|49912485|2023-01-04 20_27_31
5a737bab1c5ccea143b518b38c641a8b6cff27bb28f963eadf7b90a1980ca042|machinelearningforbeginners_bpb.pdf|5026702|2023-01-04 20_27_36
8cae85b82fa58d162c63c2c2d464dce88c6934215bd2d6c783f40a767956d4a4|machinelearningforfinance.pdf|8267167|2023-01-04 20_26_12
43d484cf84e421693a87d82e4898a04182ce9ed06cae5acf209b855a0332184a|machinelearningmastersupervisedandunsupervisedlearningalgorithmswi.pdf|20484188|2023-01-04 20_27_14
ea4f21be615caa8c5a2ccbeff88203f19f12e382c9316ab0a816233b4c60d556|machinelearningwithpython.pdf|4934358|2023-01-04 20_27_02
d887a85cc8cffe75f910243bee7d6dbb5278902935a91ad99b849c5fefe178ad|modernmarketingusingai.pdf|14936711|2023-01-04 20_27_25
4e3aaac8a00e6c1b103e03e68e4fa0b470915a481a3a951015432597f36aa1ae|operationalizingmachinelearningpipelines.pdf|8687729|2023-01-04 20_26_57
93a02b84e6aafc280551984067068d16978a0402ec16396395c77a1ebe5877dc|practicalfullstackmachinelearning.pdf|46348974|2023-01-04 20_27_34
549a6ac5f6ff1f65ed74894b071b011122a42bdac2de796f64b54e7863c7e249|practicalmachinelearningwithspark.pdf|55070892|2023-01-04 20_27_03
5b5bc92e33cdf6d22a32c92a72acc2b4c4fc90a7a219d52fce62fa128286a9e1|pragmaticmachinelearningwithpython.pdf|45179334|2023-01-04 20_27_40
1c4114f804e30b63329356f6266a6fa6eff955d1173ef79cae6ddc7ad9ebec43|statisticsformachinelearning_bpb.pdf|24630519|2023-01-04 20_27_49
c03df56507114623962b4351769a491d3a7895acbb72dbfacc8586456891cfdc|thinkai.pdf|16944460|2023-01-04 20_26_33
9d52e47ba6a45d6ace1e72a207a64081dd29fd1d2e00befec6533604070565fd|todayandfutureofwsnaiandiot.pdf|43296916|2023-01-04 20_27_07
ccef1cfe14a177e4c77a0f59e861802e21bb80643cf403040c2c5f32381d9855|upandrunninggoogleautomlandaiplatform.pdf|12370038|2023-01-04 20_27_06

FOLDER \EBOOKS\DEVOPS
4e289ce48401f716804a475d01cb843ca84626573ba29b8a85a5a81484f32eb2|automateit.pdf|30705583|2018-05-10 21_06_49
071a851dc7b2fcd0c75d1af0abccd9cd173ae53d1afe79ef2514fb3144839acb|continuousdeliverywithdockerandjenkins.pdf|4702841|2018-05-10 21_05_10
6f299902d0049dd1e9e5b467415634239b0f6bc426104312784ba08200aadc6a|deploymentwithdocker.pdf|5833143|2018-05-10 21_06_25
87f3139277593b0c5d24bc07e20f2c372dfe9aacd741556bb2ae01001331bbc4|devopsfornetworking.pdf|8207449|2018-05-10 21_06_14
b91d70df440d459ab3b7537c9acd564719a25e43c56482620c0324a0b9198966|devopswithkubernetes.pdf|19388372|2018-05-10 21_06_12
9d67e57b291a80f81e5a323e6ad43b063fe902f853cd99921dbf4d28f1d22c69|dockerandkubernetesforjavadevelopers.pdf|12750304|2018-05-10 21_06_20
8a725b077b1935b2ea261ef8957c7494dc35895ae2e589df421df39a802083d1|effectivedevopswithaws.pdf|18125811|2018-05-10 21_06_36
099a1e08446349e9b479925be927ad8ee82ed79fbd1d899c094354f68922a6b7|gettingstartedwithkubernetes_secondedition.pdf|12161628|2018-05-10 21_05_32
97858bed65f50860b3ec173c93dabab5b671ff857860136d3bb048204c09a82e|learningcontinuousintegrationwithjenkins.pdf|7835368|2018-05-10 21_05_43
e96d5c270445659e5cd5df318284fb845e2322396b968bfa31226a5bbe25c17f|masteringansible.pdf|19008203|2018-05-10 21_05_30
668b323445c4769e901856ad4dc484462dbcaefe9a5c0b27ad38126b3469b138|masteringdocker.pdf|25472479|2018-05-10 21_05_23
72588648599a060aaedcdc2a5a2ca829d16803382f982bbf44d6447511088f9b|masteringkubernetes.pdf|3602394|2018-05-10 21_05_08
7ba3e87ab764e3936635064599f9420462d152041413c82f95c5c22871331fac|openstackadministrationwithansible2.pdf|9683619|2018-05-10 21_05_06
8e78b8b2d8a3435df2f2b3bff7fc55dc4fbce59643104b827a76fcd0c5163a4f|practicalnetworkautomation.pdf|13044204|2018-05-10 21_06_22
157d4843b510e1b3d0b0eea71dabdc936da71c95c48cb8bbeb44d43b55ea17d2|puppet5beginnersguide.pdf|3265749|2018-05-10 21_04_43
8838f4cb427fab33532449a0251ec14721e2530e4eb3806fc118189c9d2119d8|windowsserver2016automationwithpowershellcookbook.pdf|31803050|2018-05-10 21_06_10

FOLDER \EBOOKS\DEVOPS_BY_OREILLY
39ce03add42429256d3d3291bf78f422ae740b5dbdafd578a0d2a330a479fd1c|awssystemadministration.pdf|9927105|2018-11-05 23_07_28
1f07c73d92809f9d0e4393439255ecd07c5af37ec3cf27603a089c618e43a753|cloudfoundry_thedefinitiveguide.pdf|9942064|2018-11-05 23_07_07
e5b18b2be170ee4fe078c66394731634d94e7862de964c52099497fff58c3945|cloudnativeinfrastructure.pdf|7466756|2018-11-05 23_07_11
ac9265b46df39de164a077ab39aa2e53288f0909e4bdcf2a95bb3aecc8c72076|databasereliabilityengineering.pdf|9788747|2018-11-05 23_07_43
ce2e41aa392fcc41817929675beb41c8f79108af8da3f614729d8505500844b8|deployingtoopenshift.pdf|5691348|2018-11-05 23_07_15
25511cc9eeafff13e1c6bc5ea69fb19bb25fdcfe7b9618b4bcaf6bd8a6e1ac43|designingdistributedsystems.pdf|6302964|2018-11-05 23_07_37
dd7d336bf87e9ec234f86ac0f14610a22906fdb63ae25a5fb793e5eba9aacc79|effectivedevops.pdf|7796730|2018-11-05 23_07_01
a6943faafd271b1f4e7df141b91173fe3b94c6991bcedb8dcc1b32505ea0fa66|jenkins2_upandrunning.pdf|32250512|2018-11-05 23_07_38
f5dbe25b91f50be03e61be396d41f28d20c7e37616e6bd8d8a01154d665952fa|kubernetes_upandrunning.pdf|4662875|2018-11-05 23_07_49
95990d2a5c91db771ab5d3cc5499efe656c0fdce4fcbd72381a67041fc6cde11|linuxpocketguide_3rdedition.pdf|3143926|2018-11-05 23_07_46
9caa83ae0be86c8f65decd77635b8dd4da7249d825e4b395374df19f4c5dd609|movinghadooptothecloud.pdf|12180404|2018-11-05 23_07_51
65c913cc2b4d39caf7f4b6d946d4bbb26b2902cef6655757b39269eb11dd5db3|practicalmonitoring.pdf|3516121|2018-11-05 23_07_19
e279960f60f56e1f37135e334b6b0785035d864f042facc725d248037d74021c|prometheus_upandrunning.pdf|9089973|2018-11-05 23_07_29
fd778a25f2bc85a5958d161e5e730ba21c501df6368b5f24d9c243b2ad2d5814|seekingsre.pdf|15634356|2018-11-05 23_07_34
94982aa6b862a46fc40bc1a021f3eb8aed7058ff2b60fc9a0b2c07aabac0fe2d|thesitereliabilityworkbook.pdf|12053281|2018-11-05 23_08_27

FOLDER \EBOOKS\DungeonsAndDragons\2024GoodmanGames
0737a1646a8a02a5a7954814583d5d5d400cf26bc433612a44b53d225b80e0bc|cryptofthedevillich5e.pdf|122874986|2024-10-15 18_44_39
231e2fe10abec64a017c3f6bc0feaffd6ef678f907c32f4952c6367be43a9407|cryptofthedevillich_vttmapplustokenpack.zip|26100636|2024-10-15 18_48_21
f46b8cc2d82f88f0ef99ca39390407beb790bd6fabe9375d3f0c8d924fa347e9|darktower_vttmapplustokenpack.zip|117754155|2024-10-15 18_47_04
652a2e9ddc72a2334f13e276e1124e25a58f8cba2e2d92505b04b3ddecda789b|dnd5eadventuresandmoregoodmangames_bookbundle_20offcoupon.pdf|617007|2024-10-15 18_45_14
1a9db4507a4230e4a7b1992c812aa0a4e584fa05071e98d10aa8359e7ecdc896|fiftheditionfantasy_flightfromtheforgepits.pdf|8916303|2024-10-15 18_44_44
30e35389587d4476c39dfcb07dd757b67742aca1c73f9e1fa4099c999b0b6da5|fiftheditionfantasy_issue10_thecastleinthesky.pdf|6676295|2024-10-15 18_46_58
6b9088d63bfa6c74f5c7e2c54b2f1525b50309d3b69d2d60dddca1207adb3cad|fiftheditionfantasy_issue11_thearchmageslosthideaway.pdf|13558760|2024-10-15 18_45_00
065863e7c8a5a10ddb54b5eeb2e638c2395ff0b8b2ce10d74bff59f077c1e1b1|fiftheditionfantasy_issue12_theforgottenhive.pdf|11281576|2024-10-15 18_47_50
db5b3783cb411b656476ea81bc9294ab6922ef60972aff3e3e2f01ee658ee6e4|fiftheditionfantasy_issue13_mysterybeneaththemonastery.pdf|10879427|2024-10-15 18_36_41
6d0b3e5cab56c773120daf302b6bd391ebe92633fb79ec5bcd4bb7d037d7ce0a|fiftheditionfantasy_issue14_beneaththekeep.pdf|13420747|2024-10-15 18_47_58
